	Amp In	Amp Out	Control Voltage	Attenuation
0	944.0	473	0.0	-6.002217071205147
1	944.0	472	0.1	-6.020599913279624
2	944.0	470	0.2	-6.05748272724703
3	944.0	465	0.30000000000000004	-6.150380828162301
4	944.0	446	0.4	-6.512742711718542
5	944.0	400	0.5	-7.458240059402133
6	944.0	344	0.6000000000000001	-8.768271034530779
7	944.0	288	0.7000000000000001	-10.311590130776763
8	944.0	232	0.8	-12.189680188143386
9	944.0	177	0.9	-14.539974558725246
10	944.0	122	1.0	-17.772243272466415
11	944.0	85	1.1	-20.911061371675522
12	944.0	65	1.2000000000000002	-23.241172753104266
13	944.0	49	1.3	-25.69551828539111
14	944.0	36	1.4000000000000001	-28.373389870615636
